sale_id,product_id,product_name,quantity_sold,price_per_unit,total_amount,sale_date
S00001,P0001,QuantumCore Laptop Pro X1,1,1299.99,1299.99,2026-01-24 09:15:00
S00002,P0002,NovaStream Wireless Mouse,2,29.99,59.98,2026-01-24 09:20:00
S00003,P0005,TerraByte External SSD 1TB,1,89.99,89.99,2026-01-24 09:25:00
S00004,P0013,SilentKey Mechanical Keyboard,1,119.99,119.99,2026-01-24 10:05:00
S00005,P0023,EcoPrint Recycled Paper (500 Sheets),5,12.99,64.95,2026-01-24 10:15:00
S00006,P0008,CosmoView 27-inch Monitor,1,299.00,299.00,2026-01-24 11:30:00
S00007,P0036,GourmetBlend Coffee Beans (1kg),2,19.50,39.00,2026-01-24 11:45:00
S00008,P0049,TuneFlow Wireless Earbuds,1,55.00,55.00,2026-01-24 12:10:00
S00009,P0002,NovaStream Wireless Mouse,3,29.99,89.97,2026-01-24 13:00:00
S00010,P0010,FlexiFit Yoga Mat,1,22.50,22.50,2026-01-24 14:00:00
S00011,P0051,NovaBook UltraSlim Laptop,1,999.00,999.00,2026-01-24 14:15:00
S00012,P0025,StarLight LED Desk Lamp,2,45.99,91.98,2026-01-24 14:30:00
S00013,P0033,BrightWrite Ballpoint Pens (Pack of 10),3,8.99,26.97,2026-01-24 15:00:00
S00014,P0041,DataVault Portable Hard Drive 2TB,1,129.99,129.99,2026-01-24 15:15:00
S00015,P0003,OrionDesk Ergonomic Chair,1,249.50,249.50,2026-01-24 15:45:00
S00016,P0007,TechPro Wireless Headphones,1,79.99,79.99,2026-01-24 16:00:00
S00017,P0015,SmartType Bluetooth Keyboard,2,59.99,119.98,2026-01-24 16:30:00
S00018,P0028,NutriBlend Protein Powder (Vanilla),1,35.99,35.99,2026-01-24 17:00:00
S00019,P0040,GreenLeaf Organic Tea Sampler,4,15.99,63.96,2026-01-24 17:15:00
S00020,P0012,AquaPure Water Bottle (32oz),2,18.99,37.98,2026-01-24 17:30:00 S00021,P0120,CulinaryZ200 373,3,705.29,2115.87,2026-05-03 09:27:46
S00022,P0241,AlphaMax 842,4,1466.52,5866.08,2026-04-12 16:27:57
S00023,P0236,TerraGlow 353,1,240.96,240.96,2026-05-13 13:51:35
S00024,P0341,SilentStream 877,4,933.53,3734.12,2026-03-11 05:56:18
S00025,P0172,OmegaDesk 908,4,951.07,3804.28,2026-05-10 13:22:09
S00026,P0420,OrionMini 796,1,1010.12,1010.12,2026-04-24 13:09:34
S00027,P0365,OmegaPrint 822,2,811.43,1622.86,2026-05-09 05:50:10
S00028,P0488,ChronoMate 718,1,1185.62,1185.62,2026-04-05 09:47:04
S00029,P0263,DeltaGuard 633,3,97.94,293.82,2026-03-16 15:49:41
S00030,P0524,GamerPrint 623,1,555.08,555.08,2026-04-19 13:18:49
S00031,P0079,AlertPro Personal Safety Alarm,2,12.99,25.98,2026-04-01 23:00:57
S00032,P0120,CulinaryZ200 373,4,705.29,2821.16,2026-03-06 04:42:23
S00033,P0577,AquaUltra 702,2,400.57,801.14,2026-04-16 20:18:19
