product_id,product_name,category,unit_price
P0001,QuantumCore Laptop Pro X1,Electronics,1299.99
P0002,NovaStream Wireless Mouse,Accessories,29.99
P0003,OrionDesk Ergonomic Chair,Office Furniture,249.50
P0004,AuraGlow Smart Bulb (2-Pack),Home Automation,35.00
P0005,TerraByte External SSD 1TB,Storage,89.99
P0006,HydroFlask Insulated Bottle,Lifestyle,25.00
P0007,Zenith Bluetooth Headphones,Audio,79.99
P0008,CosmoView 27-inch Monitor,Electronics,299.00
P0009,StellarGrip Phone Holder,Accessories,15.99
P0010,FlexiFit Yoga Mat,Sports & Outdoors,22.50
P0011,ChronoGuard Smartwatch Series 5,Wearables,199.00
P0012,GigaPower Portable Charger,Accessories,45.75
P0013,SilentKey Mechanical Keyboard,Electronics,119.99
P0014,AquaPure Water Filter Pitcher,Home Goods,32.00
P0015,AeroSpeed Running Shoes,Footwear,85.00
P0016,CulinaryMaster Chef Knife Set,Kitchenware,150.00
P0017,SolarFlare Garden Lights (4-Pack),Outdoor,40.50
P0018,CodeWeaver Pro IDE Software,Software,99.00
P0019,RoboVac Smart Cleaner X200,Home Appliances,279.99
P0020,DataSafe Encrypted USB Drive 128GB,Storage,55.25
P0021,VisionMax VR Headset,Gaming,349.00
P0022,PowerCore Desktop PC (i7, 16GB RAM),Electronics,899.00
P0023,EcoPrint Recycled Paper (500 Sheets),Office Supplies,12.99
P0024,GamerPro XL Mousepad,Accessories,19.99
P0025,SoundWave Mini Bluetooth Speaker,Audio,39.95
P0026,TravelMate Suitcase Set (3-Piece),Travel,180.00
P0027,PureAroma Essential Oil Diffuser,Health & Wellness,28.50
P0028,OptiFocus Reading Glasses (+2.0),Eyewear,18.00
P0029,BuildRight 3D Printer Filament (PLA, Black),Crafting,22.00
P0030,NatureScape Canvas Wall Art,Decor,65.00
P0031,PetPal Automatic Feeder,Pet Supplies,75.00
P0032,GreenThumb Gardening Tool Set,Garden,48.99
P0033,AutoShine Car Wax Kit,Automotive,33.50
P0034,FitTrack Pro Fitness Band,Wearables,59.99
P0035,MemoryFoam Lumbar Support Pillow,Comfort,26.75
P0036,GourmetBlend Coffee Beans (1kg),Groceries,19.50
P0037,MasterSketch Drawing Tablet,Art Supplies,110.00
P0038,KnitJoy Yarn Bundle (Assorted Colors),Crafting,30.00
P0039,SafeGuard Home Security Camera,Security,95.00
P0040,BrightBeam LED Flashlight,Tools,16.99
P0041,PowerDrill X500 Cordless,Tools,89.00
P0042,ClearSound Conference Mic,Office Electronics,65.50
P0043,CloudNine Silk Pillowcase,Bedding,29.99
P0044,BakeEasy Non-Stick Pan Set,Kitchenware,70.00
P0045,AquaSplash Swim Goggles,Sports & Outdoors,14.50
P0046,LearnFast Language Software (Spanish),Software,49.99
P0047,WriteWell Fountain Pen,Stationery,38.00
P0048,MightyMug Unspillable Travel Mug,Lifestyle,24.95
P0049,TuneFlow Wireless Earbuds,Audio,55.00
P0050,OfficePro Shredder (8-Sheet),Office Supplies,45.99
P0051,NovaBook UltraSlim Laptop,Electronics,999.00
P0052,ErgoTouch Vertical Mouse,Accessories,34.99
P0053,LumiDesk LED Lamp with Charger,Office Furniture,42.50
P0054,ConnectHub USB-C Docking Station,Electronics,79.00
P0055,DataVault NAS Enclosure (2-Bay),Storage,159.99
P0056,EcoBlend Bamboo Cutting Board,Kitchenware,18.50
P0057,ActiveLife Resistance Band Set,Sports & Outdoors,16.00
P0058,StudioMic Pro Condenser Microphone,Audio,129.00
P0059,QuickCharge Wireless Charging Pad,Accessories,25.99
P0060,ComfyRide Bike Seat Cushion,Sports & Outdoors,20.00
P0061,CyberSecure VPN Subscription (1 Year),Software,59.00
P0062,PowerMax Gaming PC (Ryzen 7, RTX 4070),Electronics,1499.00
P0063,PrintPerfect Photo Paper (100 Sheets),Office Supplies,24.99
P0064,AudioBlast Gaming Headset,Gaming,89.95
P0065,SoundProof Acoustic Panels (6-Pack),Audio Equipment,49.00
P0066,GlobeTrotter Universal Adapter,Travel,19.99
P0067,NutriBlend Personal Blender,Home Appliances,38.50
P0068,VisionPlus Blue Light Blocking Glasses,Eyewear,22.00
P0069,Craftopia Polymer Clay Set,Crafting,27.50
P0070,SereneScapes Zen Garden Kit,Decor,35.00
P0071,Pawsome Interactive Cat Toy,Pet Supplies,15.99
P0072,GrowMaster Indoor Herb Garden Kit,Garden,55.00
P0073,CleanWheels Tire Shine Spray,Automotive,12.50
